fixed_utilization,fixed_bp_by_week_99,ema_utilization,ema_bp_by_week_99,reserve_utilization,reserve_bp_by_week_99
0.1792206098,0.0157295993,0.5037478254,0.1499087894,,
0.1769511049,0.0144233954,0.5016867707,0.1486898839,,
0.1747350815,0.0134881019,0.4997915154,0.1551395799,,
0.1725702895,0.012617084,0.4979590999,0.1535655058,,
0.1704575425,0.0119258631,0.4959672368,0.1535655058,,
0.1683944619,0.0112346422,0.4942410937,0.1535655058,,
0.1663800609,0.0102043256,0.4903128675,0.1347567717,,
0.1644092454,0.0088218838,0.4885605567,0.133244426,,
0.1624876558,0.0078865904,0.4869601222,0.133244426,,
0.160605998,0.0071105956,0.4854138725,0.133244426,,
0.1587671627,0.0064193747,0.4833277328,0.1377814631,,
0.1569677761,0.0059619772,0.4801271384,0.133244426,,
0.1552084564,0.0058129278,0.4789470961,0.133244426,,
0.1534874647,0.0053657795,0.4778455593,0.133244426,,
0.151804139,0.0049931559,0.4761648682,0.133244426,,
0.1501580243,0.004695057,0.4742541739,0.1408563663,,
0.1485479035,0.0043969582,0.4704890492,0.1504173577,,
0.1469708576,0.0042479087,0.468663168,0.1393988391,,
0.1454286715,0.0038752852,0.466861564,0.1393988391,,
0.14391709,0.003651711,0.4656322038,0.1393988391,,
0.1424358789,0.0032790875,0.4639364034,0.1393988391,,
0.1409852924,0.0029064639,0.4618482418,0.1393988391,,
0.1395632627,0.002608365,0.4592150894,0.1519914317,,
0.1381730861,0.0023102662,0.4577031702,0.2518283582,,
