percentile,window_size,bp_batch_mean,bp_batch_mean_delta,bp_batch_mean_percent_error,utilization,bp_by_hour_50,bp_by_hour_95,bp_by_hour_99,bp_by_hour_mean,bp_by_day_50,bp_by_day_95,bp_by_day_99,bp_by_day_mean,bp_by_week_50,bp_by_week_95,bp_by_week_99,bp_by_week_mean,bp_by_month_50,bp_by_month_95,bp_by_month_99,bp_by_month_mean,bp_by_year_50,bp_by_year_95,bp_by_year_99,bp_by_year_mean,billable_time,lost_billable_time,server_cost_time,num_servers,ns_delta
0.9,12,0.0953754497729,0.0166225362036,17.4285271977,0.835803270483,0.0,1.0,1.0,0.150435788338,0.117530653422,0.3475,0.566666666667,0.143666577801,0.115789756012,0.27313006581,0.406320250599,0.134643526527,0.103387424138,0.196322901108,0.20381396499,0.116365294985,0.0974851023996,0.0974851023996,0.0974851023996,0.0974851023996,779652392.0,91639829.0,3.22382399934e+11,29.8836749117,3.43119141279
0.9,144,0.0856426591164,0.0131730445467,15.3814053447,0.824812761951,0.0,0.464880952381,1.0,0.0930184068657,0.101207624036,0.308056965498,0.584727272727,0.134535556939,0.090766936495,0.235623122022,0.453109913396,0.126936247642,0.0834872599614,0.173509607198,0.182856014538,0.107194879023,0.0890488367314,0.0890488367314,0.0890488367314,0.0890488367314,788756788.0,82535433.0,3.08754383934e+11,29.6058480565,3.30781954426
0.9,288,0.0579189523978,0.0116794976436,20.1652432581,0.82009222894,0.0,0.333333333333,0.666666666667,0.0609066153921,0.0709018823181,0.260991140642,0.355045454545,0.0928969763744,0.0655884350037,0.215868507743,0.244691444442,0.0912645347582,0.054585498231,0.145657640866,0.158987065894,0.0779742965639,0.0614568825772,0.0614568825772,0.0614568825772,0.0614568825772,814919799.0,56372422.0,3.21790278234e+11,30.6132803298,3.36855752771
0.9,2016,0.0590161033445,0.0137144987211,23.2385703966,0.816308402838,0.0,0.296875,0.557235142119,0.0499339604631,0.0540400780491,0.251445578231,0.364049925484,0.0797623807307,0.0562901424323,0.203712418898,0.228405044602,0.0871012999762,0.0553266353545,0.146703880505,0.158875286534,0.0788022925213,0.0623530217585,0.0623530217585,0.0623530217585,0.0623530217585,817341415.0,53950806.0,3.24683141034e+11,30.2525265018,3.28463316811
0.91,12,0.0718869816552,0.0126078450035,17.5384258919,0.826357524271,0.0,0.591176470588,1.0,0.108263555924,0.0816326530612,0.240740740741,0.333333333333,0.102180455746,0.0870827339051,0.198673278823,0.263508844666,0.0973917311807,0.0769309427763,0.145286747467,0.147979863627,0.0858278548675,0.0730553208977,0.0730553208977,0.0730553208977,0.0730553208977,803288883.0,68003338.0,3.42297671373e+11,30.7563663133,3.43896197337
0.91,144,0.0771249926267,0.0126944123098,16.4595313107,0.821179721254,0.0,0.423076923077,1.0,0.0831801991581,0.0906070756163,0.292452830189,0.533397129187,0.122901089995,0.0831138505479,0.231052484903,0.412419845218,0.115837544069,0.0747770183863,0.159682063414,0.16997814623,0.0974129233415,0.0803842553483,0.0803842553483,0.0803842553483,0.0803842553483,796993735.0,74298486.0,3.14928324234e+11,29.9849823322,3.33259615355
0.91,288,0.053795788356,0.0110619710266,20.5628941682,0.817247153126,0.0,0.333333333333,0.666666666667,0.0570030735316,0.0649384787472,0.252697630776,0.355045454545,0.0871557223713,0.0598851638755,0.206884264377,0.223188225539,0.0854335231832,0.0508192118589,0.136366665982,0.15199243432,0.0727349521954,0.0572844128861,0.0572844128861,0.0572844128861,0.0572844128861,818983532.0,52308689.0,3.23992234434e+11,30.8215547703,3.38175154112
0.91,2016,0.05376039639,0.0135238189365,25.1557277189,0.812339634584,0.0,0.285714285714,0.557235142119,0.0468970741679,0.0480686929475,0.249385245902,0.369572859745,0.0755232813372,0.0543631904566,0.204264339152,0.229484521835,0.0820076435002,0.0491617088462,0.142110918638,0.155548989506,0.0731307410985,0.0571816708144,0.0571816708144,0.0571816708144,0.0571816708144,821773390.0,49518831.0,3.30316601034e+11,30.5630977621,3.30989982595
0.92,12,0.07162154191,0.0124690272538,17.4096045984,0.826001260283,0.0,0.591176470588,1.0,0.108068372869,0.0817254174397,0.24062962963,0.333333333333,0.101956744891,0.0870827339051,0.198673278823,0.263508844666,0.0971126144304,0.0766717411174,0.145885350726,0.149163767851,0.0856733511424,0.0727870499326,0.0727870499326,0.0727870499326,0.0727870499326,803421746.0,67870475.0,3.42597214434e+11,30.7775853946,3.44028927296
0.92,144,0.0735857960243,0.0122991093911,16.7139720647,0.819100479532,0.0,0.4,1.0,0.0779949308319,0.0872605247102,0.274659090909,0.521403508772,0.11618397652,0.0802647978532,0.207689914132,0.383047263682,0.109721204563,0.0704002228786,0.151953944675,0.16217249038,0.0928808074334,0.0766627091943,0.0766627091943,0.0766627091943,0.0766627091943,800360663.0,70931558.0,3.19104068934e+11,30.1473616019,3.34955545172
